Year,Economy Label,Mode Label,Direction Label,US dollars at current prices in millions,US dollars at current prices per capita,Percentage of total world,Percentage of Gross Domestic Product
1971,Algeria,Flow,Inward,0.6,0.04,0.004213,0.01119
1971,Algeria,Flow,Outward,1.0,0.067,0.006929,0.01864
1971,Angola,Flow,Inward,1.86,0.308,0.013061,0.0464
1971,Argentina,Flow,Inward,125.67,5.18,0.882441,0.3091
1971,Australia,Flow,Inward,1155.158,88.632,8.111394,2.29211
1971,Australia,Flow,Outward,104.498,8.018,0.724044,0.20735
1971,Austria,Flow,Inward,142.73,18.904,1.002234,0.79922
1971,Austria,Flow,Outward,36.12,4.784,0.250268,0.20225
1971,Bahamas,Flow,Inward,54.66,314.329,0.383817,6.91426
1971,Barbados,Flow,Inward,15.928,66.339,0.111841,6.50042
1971,Barbados,Flow,Outward,1.318,5.49,0.009132,0.53791
1971,Belgium,Flow,Inward,428.0,44.291,3.005369,1.43519
1971,Belgium,Flow,Outward,206.0,21.318,1.427329,0.69077
1971,Bolivia (Plurinational State of),Flow,Inward,1.9,0.415,0.013342,0.17363
1971,Brazil,Flow,Inward,449.0,4.606,3.152829,1.14157
1971,Brazil,Flow,Outward,1.0,0.01,0.006929,0.00254
1971,Belize,Flow,Inward,3.34,26.764,0.023453,9.43895
1971,Solomon Islands,Flow,Inward,-0.17,-1.023,-0.001194,-0.49139
1971,Brunei Darussalam,Flow,Inward,-17.55,-129.356,-0.123234,-7.07408
1971,Myanmar,Flow,Inward,0.05,0.002,0.000351,0.00176
1971,Cambodia,Flow,Inward,-0.28,-0.039,-0.001966,-0.03654
1971,Cameroon,Flow,Inward,1.7,0.254,0.011937,0.11523
1971,Canada,Flow,Inward,2272.75,104.622,15.959001,2.25513
1971,Canada,Flow,Outward,457.521,21.061,3.170061,0.45397
1971,Central African Republic,Flow,Inward,0.7,0.38,0.004915,0.23811
1971,Sri Lanka,Flow,Inward,0.3,0.024,0.002107,0.01041
1971,Chad,Flow,Inward,0.3,0.081,0.002107,0.07736
1971,Chile,Flow,Inward,-18.97,-1.908,-0.133205,-0.16371
1971,"China, Taiwan Province of",Flow,Inward,53.0,3.471,0.37216,0.78786
1971,"China, Taiwan Province of",Flow,Outward,1.0,0.065,0.006929,0.01487
1971,Colombia,Flow,Inward,43.13,1.96,0.302854,0.39241
1971,Colombia,Flow,Outward,3.01,0.137,0.020856,0.02739
1971,Congo,Flow,Inward,48.7,35.654,0.341966,15.00939
1971,"Congo, Dem. Rep. of the",Flow,Inward,5.74,0.279,0.040306,0.10758
1971,Costa Rica,Flow,Inward,22.1,11.656,0.155184,1.61333
1971,Cyprus,Flow,Inward,29.6,47.676,0.207848,4.10407
1971,Benin,Flow,Inward,2.8,0.941,0.019661,0.81922
1971,Denmark,Flow,Inward,125.0,25.193,0.877736,0.65494
1971,Denmark,Flow,Outward,52.0,10.48,0.360297,0.27246
1971,Dominican Republic,Flow,Inward,65.0,14.047,0.456423,3.11656
1971,Ecuador,Flow,Inward,162.1,25.947,1.138249,5.88834
1971,El Salvador,Flow,Inward,7.0,1.857,0.049153,1.96067
1971,Ethiopia (...1991),Flow,Inward,5.7,0.186,0.040025,0.21037
1971,Fiji,Flow,Inward,6.5,12.227,0.045642,2.62911
1971,Finland,Flow,Inward,25.0,5.4,0.175547,0.20054
1971,Finland,Flow,Outward,46.0,9.937,0.318724,0.36899
1971,"France, metropolitan",Flow,Inward,525.656,10.274,3.691098,0.31671
1971,"France, metropolitan",Flow,Outward,346.886,6.78,2.403493,0.209
1971,France,Flow,Inward,525.656,10.033,3.691098,0.3161
1971,France,Flow,Outward,346.886,6.621,2.403493,0.2086
1971,Gabon,Flow,Inward,15.7,26.14,0.110244,3.24958
1971,Gambia,Flow,Inward,1.7,3.556,0.011937,1.01238
1971,"Germany, Federal Republic of",Flow,Inward,1091.045,13.848,7.661198,0.43644
1971,"Germany, Federal Republic of",Flow,Outward,1206.091,15.308,8.356735,0.48247
1971,Ghana,Flow,Inward,30.6,3.41,0.21487,0.5967
1971,Greece,Flow,Inward,42.0,4.818,0.294919,0.28797
1971,Guatemala,Flow,Inward,28.6,4.948,0.200826,1.64243
1971,Guyana,Flow,Inward,-2.44,-3.419,-0.017133,-0.53941
1971,Haiti,Flow,Inward,3.4,0.715,0.023874,0.70665
1971,Honduras,Flow,Inward,7.4,2.645,0.051962,0.84855
1971,"China, Hong Kong SAR",Flow,Inward,59.483,15.199,0.417686,1.33329
1971,Iceland,Flow,Inward,19.8,95.608,0.139033,2.94968
1971,India,Flow,Inward,47.66,0.084,0.334663,0.07124
1971,Iran (Islamic Republic of),Flow,Inward,65.2,2.227,0.457827,0.47481
1971,Iraq,Flow,Inward,-0.18,-0.018,-0.001264,-0.00487
1971,Ireland,Flow,Inward,25.0,8.492,0.175547,0.49025
1971,Israel,Flow,Inward,57.0,19.655,0.400248,0.89492
1971,Israel,Flow,Outward,4.0,1.379,0.027715,0.0628
1971,Italy,Flow,Inward,550.02,10.207,3.86218,0.44116
1971,Italy,Flow,Outward,406.22,7.538,2.814609,0.32582
1971,C繫te d'Ivoire,Flow,Inward,15.7,2.946,0.110244,0.98302
1971,Jamaica,Flow,Inward,175.2,92.003,1.230235,9.22293
